Question,Answer
"Which one of the following casting processes is most widely used (one answer)? (a) centrifugal casting, (b) die casting, (c) investment casting, (d) sand casting, or (e) shell casting.",Answer. (d)
"In sand casting, the volumetric size of the pattern is which of the following relative to the cast part? (a) bigger, (b) same size, or (c) smaller.",Answer. (a)
"Silica sand has which one of the following compositions? (a) Al2O3, (b) SiO, (c) SiO2, or (d) SiSO4.",Answer. (c)
"For which of the following reasons is a green mold so- named? (a) green is the color of the mold, (b)	moisture is contained in the mold, (c) mold is cured, or (d) mold is dry.",Answer. (b)
"Given that Wm = weight of the molten metal displaced by a core and Wc = weight of the core, the buoyancy force is which one of the following? (a) downward force = Wm + Wc, (b) downward force = Wm - Wc, (c) upward force = Wm + Wc, or (d) upward force = Wm - Wc.",Answer. (d)
"Which of the following casting processes are expendable mold operations (more than one)? (a) investment casting, (b) low pressure casting, (c) sand casting, (d) shell molding, (e) slush casting, and (f) vacuum molding.","Answer. (a), (c), (d), and (f)."
"Shell molding is which one of the following? (a) casting operation in which the molten metal has been poured out after a thin shell has been solidified in the mold, (b) casting operation used to make artificial sea shells, (c) casting process in which the mold is a thin shell of sand binded by a thermosetting resin, or (d) sand casting operation in which the pattern is a shell rather than a solid form.",Answer. (c)
"Investment casting is also known by which one of the following names? (a) fast-payback molding, (b)	full-mold process, (c) lost-foam process, (d) lost pattern process, or (e) lost-wax process.",Answer. (e)
"In plaster mold casting, the mold is made of which one of the following materials? (a) Al2O3, (b) CaSO4-H2O, (c) SiC, or (d) SiO2.",Answer. (b)
"Which of the following qualifies as a precision casting process (more than one)? (a) ingot casting, (b)	investment casting, (c) plaster mold casting, (d) sand casting, and (c) shell molding.",Answer. (b) and (c).
"Which of the following casting processes are permanent mold operations (more than one)? (a) centrifugal casting, (b) die casting, (c) low pressure casting, (d) shell molding, (e) slush casting, and (f) vacuum permanent-mold casting.","Answer. (a), (b), (c), (e), and (f)."
"Which of the following metals would typically be die casted (more than one)? (a) aluminum, (b) cast iron, (c) steel, (d) tin, (e) tungsten, and (f) zinc.","Answer. (a), (d), and (f)."
"Which of the following are advantages of die casting over sand casting (more than one)? (a) better surface finish, (b) higher melting temperature metals, (c) higher production rates, (d) larger parts can be casted, and (e) mold can be reused.","Answer. (a), (c), and (e)."
"Cupolas are furnaces used to melt which of the following metals (choose one best answer)? (a) aluminum, (b) cast iron, (c) steel, or (d) zinc.",Answer. (b)
"A misrun is which one of the following defects in casting? (a) globules of metal becoming entrapped in the casting, (b) metal is not properly poured into the downsprue, (c) metal solidifies before filling the cavity, (d) microporosity, and (e) ""pipe"" formation.",Answer. (c)
"Which one of the following casting metals is most important commercially? (a) aluminum and its alloys, (b) bronze, (c) cast iron, (d) cast steel, or (e) zinc alloys.",Answer. (c)
